SchoolID,Region,Sector,ICSEA,SEIFAQuartile,Enrolments,ReadingScore,NumeracyScore,AttendanceRate,DisadvantageBand
S0118,Far West,Government,902,1,509,417.9,449.9,89.8,Q1 Most disadvantaged
S0119,Illawarra,Independent,935,2,483,453.9,499.8,92.6,Q2
S0120,Hunter,Catholic,969,2,417,468.8,467.9,92.5,Q2
S0121,Riverina,Catholic,1180,4,412,548.2,560.5,99.0,Q4 Most advantaged
S0122,Far West,Government,1016,3,188,503.6,500.0,96.2,Q3
S0123,Illawarra,Government,1093,4,383,530.8,506.3,99.0,Q4 Most advantaged
S0124,Western Sydney,Government,952,2,477,482.5,438.6,92.4,Q2
S0125,New England,Catholic,1014,3,475,483.2,529.6,92.8,Q3
S0126,Sydney Metro,Government,1066,3,301,523.6,524.3,93.8,Q3
S0127,Mid North Coast,Government,915,2,382,451.2,424.5,93.7,Q2
S0128,Riverina,Government,936,2,431,439.4,443.5,93.3,Q2
S0129,Murrumbidgee,Catholic,967,2,533,440.6,465.0,94.4,Q2
S0130,Western Sydney,Government,989,2,678,481.7,486.6,91.8,Q2
S0131,Illawarra,Government,947,2,369,428.3,455.4,93.3,Q2
S0132,Hunter,Catholic,940,2,499,458.1,461.3,93.9,Q2
S0133,Riverina,Government,927,2,525,456.5,468.1,92.1,Q2
S0134,Illawarra,Government,940,2,483,447.0,473.7,91.1,Q2
S0135,Hunter,Government,990,2,459,472.3,474.8,94.6,Q2
S0136,Sydney Metro,Government,1032,3,245,489.5,505.4,94.1,Q3
S0137,Illawarra,Catholic,1017,3,702,459.0,506.0,96.3,Q3
S0138,Riverina,Government,990,2,494,486.1,465.3,94.3,Q2
S0139,Western Sydney,Government,950,2,597,438.4,466.6,92.0,Q2
S0140,Riverina,Government,927,2,295,444.0,445.3,92.0,Q2
S0141,Sydney Metro,Catholic,1006,3,285,476.2,502.7,93.4,Q3
S0142,Sydney Metro,Independent,937,2,555,487.2,481.0,91.4,Q2
S0143,Mid North Coast,Catholic,987,2,724,478.4,450.4,96.1,Q2
S0144,Illawarra,Government,1017,3,422,495.5,466.1,95.7,Q3
S0145,Hunter,Government,1031,3,252,481.3,502.4,94.4,Q3
S0146,Murrumbidgee,Government,874,1,563,439.9,421.4,90.6,Q1 Most disadvantaged
S0147,Mid North Coast,Independent,1150,4,276,525.2,522.4,97.6,Q4 Most advantaged
S0148,Far West,Government,909,1,599,465.5,468.8,93.9,Q1 Most disadvantaged
S0149,Riverina,Catholic,914,2,316,418.7,440.8,94.4,Q2
S0150,Murrumbidgee,Government,960,2,635,489.4,476.6,93.0,Q2
S0151,New England,Catholic,1164,4,658,509.9,550.2,97.3,Q4 Most advantaged
S0152,Sydney Metro,Government,994,2,142,481.1,463.1,94.2,Q2
S0153,Illawarra,Catholic,1061,3,321,522.4,524.5,93.1,Q3
S0154,Central Coast,Government,820,1,572,409.3,378.4,90.9,Q1 Most disadvantaged
S0155,Hunter,Government,1096,4,644,512.7,537.7,95.3,Q4 Most advantaged
S0156,New England,Catholic,1125,4,727,557.7,529.9,96.1,Q4 Most advantaged
S0157,Mid North Coast,Government,1043,3,434,504.8,492.4,94.2,Q3
S0158,Western Sydney,Government,1095,4,544,524.6,535.5,96.0,Q4 Most advantaged
S0159,Mid North Coast,Government,945,2,104,458.0,438.1,94.1,Q2
S0160,Western Sydney,Government,1077,3,382,494.7,478.7,94.1,Q3
S0161,Illawarra,Government,1102,4,557,527.9,507.0,96.6,Q4 Most advantaged
S0162,Riverina,Independent,1055,3,592,525.8,486.3,93.8,Q3
S0163,Illawarra,Government,1077,3,134,528.7,486.1,94.4,Q3
S0164,Far West,Independent,998,2,214,497.1,463.7,95.3,Q2
S0165,Murrumbidgee,Government,1009,3,618,496.0,469.3,95.8,Q3
S0166,Sydney Metro,Catholic,909,1,708,422.8,463.4,91.6,Q1 Most disadvantaged
S0167,Far West,Catholic,984,2,833,467.2,473.8,95.2,Q2
S0168,Mid North Coast,Government,1117,4,714,526.5,536.4,91.3,Q4 Most advantaged
S0169,New England,Government,995,2,497,501.4,461.8,95.3,Q2
S0170,New England,Government,1072,3,107,492.4,484.0,94.4,Q3
S0171,Riverina,Government,984,2,306,476.5,497.6,93.8,Q2
S0172,Sydney Metro,Government,1053,3,323,526.0,498.5,96.1,Q3
S0173,Sydney Metro,Independent,1010,3,524,466.0,509.7,95.4,Q3
S0174,Western Sydney,Catholic,1010,3,225,525.3,470.9,93.5,Q3
S0175,Far West,Government,989,2,299,494.9,466.9,93.8,Q2
S0176,Riverina,Government,957,2,525,465.9,447.2,94.0,Q2
S0177,Mid North Coast,Government,991,2,452,491.7,465.3,93.6,Q2
S0178,Mid North Coast,Independent,1011,3,533,492.0,501.3,93.4,Q3
S0179,Mid North Coast,Government,881,1,313,379.2,443.8,90.5,Q1 Most disadvantaged
S0180,Central Coast,Government,964,2,496,406.3,475.7,95.2,Q2
S0181,Murrumbidgee,Government,993,2,735,471.3,497.7,94.3,Q2
S0182,Western Sydney,Government,928,2,511,438.5,477.0,94.3,Q2
S0183,Sydney Metro,Catholic,960,2,372,465.7,449.1,93.5,Q2
S0184,Central Coast,Government,1044,3,430,518.3,532.9,96.4,Q3
S0185,New England,Government,985,2,411,468.3,498.3,94.7,Q2
S0186,Far West,Government,1126,4,360,516.6,522.7,97.1,Q4 Most advantaged
S0187,Central Coast,Catholic,1082,3,272,511.2,540.3,94.4,Q3
S0188,Hunter,Government,1016,3,340,475.8,473.1,94.4,Q3
S0189,Murrumbidgee,Government,959,2,668,446.8,449.4,89.4,Q2
S0190,Mid North Coast,Government,837,1,385,409.8,418.9,91.6,Q1 Most disadvantaged
S0191,Sydney Metro,Government,961,2,491,486.5,466.6,93.0,Q2
S0192,Mid North Coast,Government,1028,3,367,494.9,481.4,90.1,Q3
S0193,Hunter,Catholic,1035,3,219,492.8,497.6,95.2,Q3
S0194,Far West,Government,1053,3,128,492.2,513.2,94.1,Q3
S0195,Central Coast,Government,1180,4,600,578.0,517.6,95.5,Q4 Most advantaged
S0196,Sydney Metro,Government,1134,4,422,512.0,522.2,96.2,Q4 Most advantaged
S0197,Far West,Government,955,2,268,458.0,482.3,94.0,Q2
S0198,New England,Government,1057,3,90,524.2,503.4,92.7,Q3
S0199,New England,Government,853,1,155,380.2,429.5,91.6,Q1 Most disadvantaged
S0200,Far West,Government,1086,3,620,509.7,486.6,94.0,Q3
S0201,Central Coast,Independent,987,2,216,446.2,500.0,92.9,Q2
S0202,Mid North Coast,Government,1068,3,530,519.6,518.7,95.6,Q3
S0203,New England,Catholic,984,2,435,466.9,424.3,94.0,Q2
S0204,Central Coast,Government,1180,4,60,577.8,580.1,94.7,Q4 Most advantaged
S0205,Illawarra,Government,967,2,607,475.6,453.9,93.4,Q2
S0206,Western Sydney,Government,1041,3,559,527.7,490.3,93.4,Q3
S0207,New England,Government,948,2,714,473.0,467.2,89.8,Q2
S0208,Murrumbidgee,Government,929,2,205,428.9,413.3,92.2,Q2
S0209,Western Sydney,Government,976,2,60,452.1,455.4,94.6,Q2
S0210,Riverina,Government,1054,3,205,495.5,503.7,90.8,Q3
S0211,Mid North Coast,Catholic,889,1,82,414.2,469.6,93.9,Q1 Most disadvantaged
S0212,Riverina,Government,989,2,414,475.4,466.3,94.6,Q2
S0213,New England,Catholic,1008,3,413,470.8,479.9,94.0,Q3
S0214,Riverina,Government,1047,3,367,475.8,503.7,95.7,Q3
S0215,Sydney Metro,Government,949,2,474,482.4,451.0,93.9,Q2
S0216,Sydney Metro,Government,972,2,552,482.2,481.1,94.2,Q2
S0217,Western Sydney,Government,1004,3,860,511.9,492.5,91.8,Q3
S0218,New England,Government,945,2,472,418.0,453.0,96.5,Q2
S0219,Sydney Metro,Government,974,2,573,476.0,456.2,93.3,Q2
S0220,Illawarra,Government,1108,4,599,517.3,518.9,94.7,Q4 Most advantaged
S0221,Hunter,Government,991,2,288,455.0,481.9,94.2,Q2
S0222,Far West,Government,1010,3,675,473.7,492.1,93.1,Q3
S0223,Mid North Coast,Catholic,952,2,264,421.4,462.5,93.1,Q2
S0224,Murrumbidgee,Government,930,2,578,461.2,472.1,93.3,Q2
S0225,Mid North Coast,Government,958,2,332,489.2,465.8,94.4,Q2
S0226,Sydney Metro,Catholic,993,2,283,512.4,440.4,91.9,Q2
S0227,Central Coast,Independent,980,2,598,451.0,491.9,93.7,Q2
S0228,New England,Government,969,2,619,467.9,481.7,95.4,Q2
S0229,Central Coast,Government,986,2,104,468.3,471.4,96.1,Q2
S0230,Western Sydney,Government,1052,3,621,502.6,497.5,94.6,Q3
S0231,Mid North Coast,Catholic,923,2,509,438.7,456.4,95.7,Q2
S0232,Riverina,Government,1031,3,546,499.2,509.2,92.9,Q3
S0233,Sydney Metro,Government,1054,3,487,527.5,511.4,94.0,Q3
S0234,Riverina,Government,931,2,462,461.9,464.8,94.4,Q2
S0235,New England,Government,932,2,560,411.9,465.1,94.1,Q2
S0236,Riverina,Government,962,2,994,466.3,482.0,92.5,Q2
S0237,Illawarra,Government,1061,3,573,524.0,516.4,93.7,Q3
S0238,Hunter,Independent,1011,3,251,497.0,460.8,94.1,Q3
S0239,Murrumbidgee,Government,1061,3,389,515.7,489.8,91.9,Q3
S0240,Far West,Government,963,2,314,415.0,479.3,93.9,Q2
S0241,Mid North Coast,Independent,970,2,746,481.0,476.8,95.6,Q2
S0242,Sydney Metro,Government,993,2,60,460.0,479.9,94.3,Q2
S0243,Mid North Coast,Government,930,2,466,445.4,456.4,94.7,Q2
S0244,Sydney Metro,Government,905,1,169,444.8,428.3,93.1,Q1 Most disadvantaged
S0245,Riverina,Government,1091,4,433,497.5,534.9,90.4,Q4 Most advantaged
S0246,Illawarra,Independent,1131,4,325,547.2,558.7,94.2,Q4 Most advantaged
S0247,Western Sydney,Independent,1100,4,430,563.4,500.7,96.2,Q4 Most advantaged
S0248,Murrumbidgee,Government,999,2,692,458.3,463.8,94.3,Q2
S0249,Illawarra,Catholic,1080,3,532,504.2,524.8,94.2,Q3
S0250,Far West,Independent,976,2,170,480.2,468.1,94.2,Q2
S0251,Riverina,Catholic,1088,3,602,492.8,520.6,94.1,Q3
S0252,Hunter,Government,958,2,509,460.5,423.1,95.2,Q2
S0253,Sydney Metro,Catholic,1025,3,368,489.4,476.0,92.2,Q3
S0254,Riverina,Government,1045,3,359,498.0,523.0,94.7,Q3
S0255,Sydney Metro,Government,1044,3,311,508.8,501.8,95.5,Q3
S0256,Mid North Coast,Independent,1061,3,621,529.8,542.3,93.0,Q3
S0257,New England,Government,972,2,372,470.8,425.6,94.5,Q2
S0258,Mid North Coast,Independent,895,1,530,436.6,440.8,93.8,Q1 Most disadvantaged
S0259,New England,Government,1017,3,388,493.5,509.3,94.9,Q3
S0260,New England,Government,942,2,619,444.5,437.7,92.9,Q2
S0261,Illawarra,Government,984,2,624,471.7,469.9,91.2,Q2
S0262,Illawarra,Catholic,932,2,693,422.9,448.8,92.3,Q2
S0263,Western Sydney,Government,940,2,762,458.0,449.8,91.0,Q2
S0264,Murrumbidgee,Government,986,2,447,485.1,450.7,93.1,Q2
S0265,Hunter,Government,975,2,780,456.1,467.7,91.6,Q2
S0266,Murrumbidgee,Government,1106,4,683,533.7,506.5,99.0,Q4 Most advantaged
S0267,Hunter,Government,998,2,435,461.8,490.9,90.9,Q2
S0268,Illawarra,Catholic,1105,4,359,540.7,510.6,96.0,Q4 Most advantaged
S0269,Riverina,Government,1094,4,375,541.5,541.9,94.3,Q4 Most advantaged
S0270,Illawarra,Catholic,981,2,612,506.8,487.1,93.2,Q2
S0271,Hunter,Government,1042,3,60,481.5,513.5,92.4,Q3
S0272,New England,Government,1083,3,98,507.3,512.3,94.2,Q3
S0273,Far West,Government,973,2,477,449.7,429.8,93.8,Q2
S0274,Mid North Coast,Government,1034,3,99,497.2,506.7,94.6,Q3
S0275,Hunter,Catholic,988,2,521,457.4,499.2,93.1,Q2
S0276,Hunter,Government,956,2,527,448.5,449.0,96.4,Q2
S0277,Western Sydney,Government,1046,3,732,510.7,516.3,97.0,Q3
S0278,Central Coast,Government,1045,3,338,513.5,507.2,95.8,Q3
S0279,Riverina,Government,962,2,400,445.1,482.2,91.2,Q2
S0280,Hunter,Government,1051,3,496,518.1,497.8,94.0,Q3
